,id,size,brand,size_standard,gender,material,color,category,subcategory,name,description,picture_1,picture_2,picture_3,country,net_price,currency_code
453,62938f2f894e6800124ac993,2XL,Armani Collezioni,UK,Male,Cotton,Navy,Jackets,Casual jackets,Armani jeans zipper ,Armani jeans zipper retro XXL navy blue slim fit ,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/dc7d862f-1b2e-4599-b84f-71dc5045b40c.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/dc7d862f-1b2e-4599-b84f-71dc5045b40c.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/dc7d862f-1b2e-4599-b84f-71dc5045b40c.jpg,UK,17.85,GBP
468,62960963c262bb0012d372d9,M,Kenzo,UK,Male,Cotton,Black,Sweaters and knitwear,Crew neck jumpers,Kenzo sweatshirt ,this is an authentic kenzo sweatshirt. ,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/dc7d862f-1b2e-4599-b84f-71dc5045b40c.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/dc7d862f-1b2e-4599-b84f-71dc5045b40c.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/dc7d862f-1b2e-4599-b84f-71dc5045b40c.jpg,UK,44.84,GBP
473,6297987fda572c0013049f8b,32,Balmain,UK,Male,Denim - Jeans,Blue,Jeans,Skinny jeans,"Men's balmain jeans, washed and distressed","Men's balmain jeans, washed and
distressed, skinny fit, good condition, worn 2-3 times.
",https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/dc7d862f-1b2e-4599-b84f-71dc5045b40c.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/dc7d862f-1b2e-4599-b84f-71dc5045b40c.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/dc7d862f-1b2e-4599-b84f-71dc5045b40c.jpg,UK,121.73,GBP
503,629a1149887d490012f370e0,M,Guess,UK,Male,Cotton,Black,T-shirts,Short sleeve t-shirts,Black Guess t shirt,Black/red guess t shirt / size M,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/dc7d862f-1b2e-4599-b84f-71dc5045b40c.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/dc7d862f-1b2e-4599-b84f-71dc5045b40c.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/dc7d862f-1b2e-4599-b84f-71dc5045b40c.jpg,UK,3.99,GBP
518,629b502467a29b00120da37b,S,AllSaints,UK,Male,Cotton,Black,Shirts,Casual shirts,Mens all saint shirt ,Mens Black and red allsaints shirt,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/dc7d862f-1b2e-4599-b84f-71dc5045b40c.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/dc7d862f-1b2e-4599-b84f-71dc5045b40c.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/dc7d862f-1b2e-4599-b84f-71dc5045b40c.jpg,UK,6.41,GBP
533,629f54d3b692c10013e09f46,M,Belstaff,UK,Male,Polyester,Blue,Jackets,Casual jackets,Belstaff Overshirt ,Excellent condition. Good fit. Barely Worn ,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/dc7d862f-1b2e-4599-b84f-71dc5045b40c.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/dc7d862f-1b2e-4599-b84f-71dc5045b40c.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/dc7d862f-1b2e-4599-b84f-71dc5045b40c.jpg,UK,38.08,GBP
538,629f55bab692c10013e09f71,S,Calvin Klein Jeans,UK,Female,Cotton,Black,Knitwear,Jumpers,CK black hoodie ,"Hooded jumper, black. 
Calvin Klein. ",https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/dc7d862f-1b2e-4599-b84f-71dc5045b40c.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/dc7d862f-1b2e-4599-b84f-71dc5045b40c.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/dc7d862f-1b2e-4599-b84f-71dc5045b40c.jpg,UK,3.99,GBP
553,62a10468b692c10013e0e74e,L,Comme Des Garcons,UK,Male,Cotton,Black,T-shirts,Short sleeve t-shirts,CDG T SHIRT RED HART / Black Tee,"Worn 2-3 times / Black,red T shirt ",https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/dc7d862f-1b2e-4599-b84f-71dc5045b40c.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/dc7d862f-1b2e-4599-b84f-71dc5045b40c.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/dc7d862f-1b2e-4599-b84f-71dc5045b40c.jpg,UK,19.79,GBP
568,62a117f6b692c10013e0eaf4,XS,Tommy Hilfiger,UK,Male,Polyester,Black,Coats,Raincoats and trench coats,Tommy Hilfiger lightweight ,Bought the coat for £90 last month already too small for me ,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/dc7d862f-1b2e-4599-b84f-71dc5045b40c.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/dc7d862f-1b2e-4599-b84f-71dc5045b40c.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/dc7d862f-1b2e-4599-b84f-71dc5045b40c.jpg,UK,19.64,GBP
608,62a39c8d9f6aba0013fb222c,XS,Reiss,UK,Female,Wool,Black,Coats,Long coats,Reiss long wool coat,Black wool coat. Good condition. No sign of wear and tear. ,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/dc7d862f-1b2e-4599-b84f-71dc5045b40c.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/dc7d862f-1b2e-4599-b84f-71dc5045b40c.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/dc7d862f-1b2e-4599-b84f-71dc5045b40c.jpg,UK,26.66,GBP
613,62a4bc5d4a00120013dd69f7,S,Armani Jeans,UK,Male,Cotton,Black,T-shirts,Polo shirts,armani jeans full sleeve polo top,"this item is in perfect condition with no faults whatsoever, bought last year  and only worn a couple of times as it is small on me.",https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/dc7d862f-1b2e-4599-b84f-71dc5045b40c.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/dc7d862f-1b2e-4599-b84f-71dc5045b40c.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/dc7d862f-1b2e-4599-b84f-71dc5045b40c.jpg,UK,14.12,GBP
623,62a8247590d0ce0012cbf107,M,Off-White,UK,Male,Cotton,Black,Sweaters and knitwear,Crew neck jumpers,Off-White Knitted Jumper,"Black and Yellow Knitted Jumper
2 months old
RRP£460
",https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/dc7d862f-1b2e-4599-b84f-71dc5045b40c.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/dc7d862f-1b2e-4599-b84f-71dc5045b40c.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/dc7d862f-1b2e-4599-b84f-71dc5045b40c.jpg,UK,121.87,GBP
628,62a88a5d90d0ce0012cc02cf,S,Levi's,UK,Female,Denim - Jeans,Blue,Jeans,Jeans,Levi’s jeans ,Levi’s 510 skinny jeans in light blue ,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/dc7d862f-1b2e-4599-b84f-71dc5045b40c.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/dc7d862f-1b2e-4599-b84f-71dc5045b40c.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/dc7d862f-1b2e-4599-b84f-71dc5045b40c.jpg,UK,9.0,GBP
688,62ab98fea30fcb001283af46,XL,Boss by Hugo Boss,EU,Male,Wool,Grey,Sweaters and knitwear,Crew neck jumpers,Boss by Hugo boss jumper grey/dark grey,Boss by Hugo Boss Jumper XL grey/dark grey,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/dc7d862f-1b2e-4599-b84f-71dc5045b40c.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/dc7d862f-1b2e-4599-b84f-71dc5045b40c.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/dc7d862f-1b2e-4599-b84f-71dc5045b40c.jpg,UK,5.87,GBP
703,62aba1cba30fcb001283b08f,L,Reiss,UK,Male,Mixed Fabric,Beige,Sweaters and knitwear,Crew neck jumpers,Mens Reiss Crew Neck Jumper,Mens Reiss Crew Neck Jumper Wensley L Beige,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/dc7d862f-1b2e-4599-b84f-71dc5045b40c.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/dc7d862f-1b2e-4599-b84f-71dc5045b40c.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/dc7d862f-1b2e-4599-b84f-71dc5045b40c.jpg,UK,9.13,GBP
743,62af445855e7cd0013d290d1,S,The North Face,UK,Female,Polyester,Black,Jackets,Casual jackets,The north face. Zipped jacket,"Warm and fluffy, super comfortable zipped jacket",https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/dc7d862f-1b2e-4599-b84f-71dc5045b40c.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/dc7d862f-1b2e-4599-b84f-71dc5045b40c.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/dc7d862f-1b2e-4599-b84f-71dc5045b40c.jpg,UK,11.25,GBP
773,62af612155e7cd0013d29664,L,Adidas Originals,EU,Male,Polyester,Blue,Sweaters and knitwear,Zipped sweaters,Quarter zip ,Loyola Marymount Lions jacket. Warm ,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/dc7d862f-1b2e-4599-b84f-71dc5045b40c.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/dc7d862f-1b2e-4599-b84f-71dc5045b40c.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/dc7d862f-1b2e-4599-b84f-71dc5045b40c.jpg,UK,12.67,GBP
803,62af62eb55e7cd0013d296b9,L,Adidas Originals,EU,Male,Polyester,Red,Sweaters and knitwear,Zipped sweaters,Boston eagles ,"NFL jumper. Quarter zip, fluffy ",https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/dc7d862f-1b2e-4599-b84f-71dc5045b40c.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/dc7d862f-1b2e-4599-b84f-71dc5045b40c.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/dc7d862f-1b2e-4599-b84f-71dc5045b40c.jpg,UK,12.67,GBP
833,62b060bcaf682a00132ee5e9,L,A Bathing Ape,UK,Male,Cotton,Green,Hoodies,Hoodies,Mens Bape Hoodie,"Bought from Selfridges 
Selling due to not wearing anymore
Really good condition as worn hand full of times
",https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/dc7d862f-1b2e-4599-b84f-71dc5045b40c.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/dc7d862f-1b2e-4599-b84f-71dc5045b40c.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/dc7d862f-1b2e-4599-b84f-71dc5045b40c.jpg,UK,148.3,GBP
838,62b0d79aaf682a00132ef977,S,The North Face,UK,Male,Mixed Fabric,Black,Coats,Short coats,The north face coat,"Shell coat very good condition
",https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/dc7d862f-1b2e-4599-b84f-71dc5045b40c.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/dc7d862f-1b2e-4599-b84f-71dc5045b40c.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/dc7d862f-1b2e-4599-b84f-71dc5045b40c.jpg,UK,16.89,GBP
853,62b0de7caf682a00132efa91,XS,Champion,EU,Male,Cotton,Grey,Sweatshirts,Sweatshirts,Champion shirt ,Shirt is very good not worn once ,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/dc7d862f-1b2e-4599-b84f-71dc5045b40c.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/dc7d862f-1b2e-4599-b84f-71dc5045b40c.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/dc7d862f-1b2e-4599-b84f-71dc5045b40c.jpg,UK,10.05,GBP
868,62b0ee15af682a00132efd29,M,Ralph Lauren,UK,Male,Cotton,Black,Sweaters and knitwear,V-neck jumpers,Ralph Lauren shirt ,Polo Ralph Lauren shirt looks very nice and good quality ,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/dc7d862f-1b2e-4599-b84f-71dc5045b40c.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/dc7d862f-1b2e-4599-b84f-71dc5045b40c.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/dc7d862f-1b2e-4599-b84f-71dc5045b40c.jpg,UK,9.15,GBP
898,62b41faaaf682a00132f580f,S,Versace Jeans,UK,Male,Cotton,Black,Hoodies,Hoodies,Versace Jeans Hoodie ,"Hoodie from Versace jeans worn a couple times great condition no damage or 

",https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/dc7d862f-1b2e-4599-b84f-71dc5045b40c.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/dc7d862f-1b2e-4599-b84f-71dc5045b40c.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/dc7d862f-1b2e-4599-b84f-71dc5045b40c.jpg,UK,74.97,GBP
