,id,size,brand,size_standard,gender,material,color,category,subcategory,name,description,picture_1,picture_2,picture_3,country,net_price,currency_code
56,62938f2f894e6800124ac993,2XL,Armani Collezioni,UK,Male,Cotton,Navy,Jackets,Casual jackets,Armani jeans zipper ,Armani jeans zipper retro XXL navy blue slim fit ,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/2ee1b7d5-1593-49f5-872c-40b076b83376.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/0b2f56dc-ed34-45db-84bb-59b3fca26cae.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/be83c215-e5d3-4ec3-ba18-b4b1f7aa93cb.jpg,UK,17.85,GBP
59,62960963c262bb0012d372d9,M,Kenzo,UK,Male,Cotton,Black,Sweaters and knitwear,Crew neck jumpers,Kenzo sweatshirt ,this is an authentic kenzo sweatshirt. ,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/9d1c2dec-cc97-48c7-87a5-a0ae15c6245c.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/f881e5be-5cdd-49f6-8a37-80340570c932.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/7aff1400-0278-402b-af3a-d0c1d1f3fc41.jpg,UK,44.84,GBP
60,6297987fda572c0013049f8b,32,Balmain,UK,Male,Denim - Jeans,Blue,Jeans,Skinny jeans,"Men's balmain jeans, washed and distressed","Men's balmain jeans, washed and
distressed, skinny fit, good condition, worn 2-3 times.
",https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/8d071079-00f0-42e1-8a86-eeaac98e45ae.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/5502fd9c-3626-4c5c-8745-3bab6de62725.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/d11e8009-6c41-4953-8ccb-a2582e272b4e.jpg,UK,121.73,GBP
66,629a1149887d490012f370e0,M,Guess,UK,Male,Cotton,Black,T-shirts,Short sleeve t-shirts,Black Guess t shirt,Black/red guess t shirt / size M,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/576a33ea-8fda-4318-8b8c-05f71eb8d3a4.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/ea7f5c9d-47a4-473c-a1bc-61a70e995176.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/1415f60b-d968-427a-927c-e7dc956fd867.jpg,UK,3.99,GBP
69,62a10468b692c10013e0e74e,L,Comme Des Garcons,UK,Male,Cotton,Black,T-shirts,Short sleeve t-shirts,CDG T SHIRT RED HART / Black Tee,"Worn 2-3 times / Black,red T shirt ",https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/3765a98a-bdf8-4ec4-a26a-fb4aaafb7978.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/3c51c459-e5fa-4d8f-90cc-ea05d47d7890.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/79342cf4-c70e-4353-a1dc-98983a287626.jpg,UK,19.79,GBP
78,62a4bc5d4a00120013dd69f7,S,Armani Jeans,UK,Male,Cotton,Black,T-shirts,Polo shirts,armani jeans full sleeve polo top,"this item is in perfect condition with no faults whatsoever, bought last year  and only worn a couple of times as it is small on me.",https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/42bfdcd7-4c6c-4a86-bbbd-36b05f313a95.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/675f0ad7-0b65-4b7d-8b91-809208137c13.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/b9790529-b854-4715-a884-218430ac0d7c.jpg,UK,14.12,GBP
80,62a8247590d0ce0012cbf107,M,Off-White,UK,Male,Cotton,Black,Sweaters and knitwear,Crew neck jumpers,Off-White Knitted Jumper,"Black and Yellow Knitted Jumper
2 months old
RRP£460
",https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/1007f9e9-0140-42cc-9bab-302a78a4749f.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/70978738-0d4f-44bc-8af5-fd549ddc1c36.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/e8092b04-cc00-48a6-9e54-aa524ce12173.jpg,UK,121.87,GBP
81,62a88a5d90d0ce0012cc02cf,S,Levi's,UK,Female,Denim - Jeans,Blue,Jeans,Jeans,Levi’s jeans ,Levi’s 510 skinny jeans in light blue ,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/adf33276-341e-478a-bf6b-f74c6ea6c6c1.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/955f494c-c6da-45bd-a8be-822a2cd0840e.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/ef2ceed4-dca2-4d81-ac8a-0b590f8ec95e.jpg,UK,9.0,GBP
90,62ab98fea30fcb001283af46,XL,Boss by Hugo Boss,EU,Male,Wool,Grey,Sweaters and knitwear,Crew neck jumpers,Boss by Hugo boss jumper grey/dark grey,Boss by Hugo Boss Jumper XL grey/dark grey,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/c67791ef-6ad5-4cd2-b77c-27e6b07b04c4.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/ce4d333c-136c-4ad9-9cb5-58f7f50dccdd.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/b6fdaa85-27c0-4ce2-b5e8-babab484c5bc.jpg,UK,5.87,GBP
93,62aba1cba30fcb001283b08f,L,Reiss,UK,Male,Mixed Fabric,Beige,Sweaters and knitwear,Crew neck jumpers,Mens Reiss Crew Neck Jumper,Mens Reiss Crew Neck Jumper Wensley L Beige,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/e1645f4a-712f-457a-b2bf-94d5cd328a78.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/095ab8e4-9204-4197-b79a-4e8afd099dab.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/0da9427e-7e0f-454a-9365-0d30ac6c3f5d.jpg,UK,9.13,GBP
101,62af445855e7cd0013d290d1,S,The North Face,UK,Female,Polyester,Black,Jackets,Casual jackets,The north face. Zipped jacket,"Warm and fluffy, super comfortable zipped jacket",https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/26a22db8-bf3d-48e7-a652-c3b9501d1fd3.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/bcdb2da1-4df6-402e-96c4-e7c2b25428ba.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/5f6c90dc-ba11-4b77-90fd-65128426c592.jpg,UK,11.25,GBP
107,62af612155e7cd0013d29664,L,Adidas Originals,EU,Male,Polyester,Blue,Sweaters and knitwear,Zipped sweaters,Quarter zip ,Loyola Marymount Lions jacket. Warm ,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/844b6cfe-4b54-4e31-957e-0507cd643374.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/f8c0bfef-aae0-409b-92af-4f8da07fae85.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/83e7899c-151e-486f-bed4-c30a6b6b7fb2.jpg,UK,12.67,GBP
113,62af62eb55e7cd0013d296b9,L,Adidas Originals,EU,Male,Polyester,Red,Sweaters and knitwear,Zipped sweaters,Boston eagles ,"NFL jumper. Quarter zip, fluffy ",https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/d530b30b-ccc3-48fc-8311-e54c4e88a21d.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/24a87c70-8a7c-4d86-a232-00cd730cfa46.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/f2534a90-0cc0-4951-9ef0-b73a35f53b89.jpg,UK,12.67,GBP
119,62b060bcaf682a00132ee5e9,L,A Bathing Ape,UK,Male,Cotton,Green,Hoodies,Hoodies,Mens Bape Hoodie,"Bought from Selfridges 
Selling due to not wearing anymore
Really good condition as worn hand full of times
",https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/cd5c1546-6ec1-4711-b4ae-2b6da7dedd70.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/d8038eb4-f82f-499e-bba6-98ba5b2b7f12.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/e065aede-4ce9-487d-9042-5027faec0d9e.jpg,UK,148.3,GBP
