,id,size,brand,size_standard,gender,material,color,category,subcategory,name,description,picture_1,picture_2,picture_3,country,net_price,currency_code
111,62a9e3f5b4375100141a7ea6,44,Patrizia Pepe,EU,Female,Cotton,Beige,Jackets,Blazers and suit jackets,Giacca patrizia pepe beige,"Indossata una sola volta, vendo perché ho perso qualche chilo ed è rimasta larga",https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/f630ed98-29f4-4630-be8b-e43dd8a6ce6b.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/10df34e3-2542-4e9a-bee0-e4b79a37122e.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/cf160340-b959-491b-b2d6-6158083c2a4a.jpg,IT,24.92,EUR
113,62a9e7ecb4375100141a7f70,40,Armani Jeans,EU,Female,Cotton,Black,Tops,T-shirts,T-shirt Armani New,T-shirt mai indossata in condizioni perfette ,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/d7494483-40b4-45f9-b3ec-01a8878b4484.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/f6b9e925-9143-4f6c-b5d2-8ca7da20fa43.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/4e90c05b-64d0-4346-bdc7-805a64e6067b.jpg,IT,12.91,EUR
220,62c44719961369001268f15c,Write in description,Guess,Other,Female,Cotton - elasthane,Blue,Jeans,Flared jeans,Jeans Guess ,Flare Cropped Jeans come nuovi,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/6fc3d780-a5a5-4c05-8730-de05d76cbe96.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/1a54f871-c075-45c8-96a7-626442796790.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/933a970b-ff56-4fe0-ae29-4c3f290e6cbe.jpg,IT,9.25,EUR
222,62c448cb961369001268f1a5,Write in description,Mother,Other,Female,Cotton - elasthane,Navy,Jeans,Skinny jeans,Jeans wrangler ,"Mai indossati, praticamente nuovi ",https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/b00c97b8-3b3d-4cbd-8c8e-2e6d0ee042ed.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/aac9c197-0769-4b5c-9a1b-439ca2e0b6b6.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/f1cdb9db-b87b-4be9-9ebe-df5a25c8d744.jpg,IT,24.66,EUR
267,62c7084a96136900126965d7,XL,Louis Vuitton,EU,Female,Wool,Grey,Tops,Long-sleeved tops,Maglia  Louis Vuitton ,"Maglia Louis Vuitton in lana , con dettagli color oro al laccio del collo. Taglia XL (peccato non si posso a giungere più foto anche per i dettagli)",https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/65e01dbf-0a03-4a43-9636-cfb87a7d5523.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/e8b2703e-161d-4215-b4e1-fac20b65b50a.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/89e6abf4-1dde-4e0e-8998-999c728350ea.jpg,IT,119.76,EUR
272,62c7fc63961369001269861a,L,Etro,EU,Male,Cotton,Black,Shirts,Formal shirts,Fly Sky T-shirt,"Nuovo mai usato, ottime condizioni",https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/ee06c17b-23ef-4836-90c4-56968722633b.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/a5e36482-a9e0-4871-aed9-29ef964ef46b.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/a922496e-def0-4438-a94a-dfceb2ee1e93.jpg,IT,18.53,EUR
275,62c8042aab84270014af74cc,L,Fay,EU,Male,Cotton,Black,T-shirts,Short sleeve t-shirts,Fly Sky T-Shirt,"Nuovo, mai usato, ottime condizioni",https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/24186edb-5b74-4e7a-8659-c82be24affb9.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/49d3eaff-36e2-4799-9b77-3cb5116477c7.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/800af2ca-530f-4d66-8f35-98dde47cc543.jpg,IT,13.96,EUR
278,62c8051dab84270014af74e2,L,Etro,EU,Male,Cotton,Black,Shirts,Formal shirts,FLY SKY T-SHIRT,"Nuovo, mai usato, ottime condizioni",https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/0a73d18c-8625-4d66-8010-80998732950a.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/6bc243da-ff5d-4547-b63f-140e88f84439.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/496bc54b-3d61-4b4f-a47b-c63de4b8e9cc.jpg,IT,18.53,EUR
281,62c8322c3ff2590013ebcb3f,M,Dolce & Gabbana,EU,Female,Polyester,Multicolour,Tops,Sleeveless and tank tops,Top Dolce e Gabbana leopardato taglia M,Top Dolce e Gabbana leopardato taglia M,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/26cf0c24-53c7-4e92-bf10-2490793b0cc0.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/10b750a5-1255-4a5f-84af-8da4d9447886.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/3510470e-139f-4784-a60c-fd70ed6a6a55.jpg,IT,37.02,EUR
288,62c95cd4baae4b0013ee7c52,L,Kenzo,EU,Male,Cotton,Black,Activewear,Sweatshorts,Maglietta maniche corte kenzo ,"Maglietta perfetta senza segni di usura comprata per sbaglio
",https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/17cf28ac-d238-45ac-88c2-c3667fa5ac6c.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/b0c4106a-6467-4b78-a265-04739c89e81c.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/6af7efb4-f464-49ff-8414-6584307a6bff.jpg,IT,25.54,EUR
