,id,size,brand,size_standard,gender,material,color,category,subcategory,name,description,picture_1,picture_2,picture_3,country,net_price,currency_code
121,62afd147af682a00132ed5cb,L,Columbia,US,Female,Polyester,Purple,Tops,T-shirts,Columbia Purple athletic shirt,This is a quick dry athletic shirt made by Columbia sports￼,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/8fe8349e-2486-4396-b920-636c2f6100af.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/76532b4a-b460-4159-8c60-af3d25a5397a.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/a7fa3d60-fd41-4f67-88de-6f3da077b318.jpg,US,3.99,USD
157,62b74c0731dcff00126e9dae,XL,Abercrombie & Fitch,EU,Male,Polyester,Grey,Activewear,Tracksuits,Abercrombie,Abercrombie & Fitch track suit a bit faded but just right,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/6ef7ea82-a9a9-4a23-b8d1-869c88da6837.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/c74065ac-d337-4831-997e-26b9caaa75a6.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/39627f6a-b6b2-44dc-bb3e-1d53d170efdd.jpg,US,3.99,USD
183,62bdd41e48024c0012f8b459,S,Altar'd State,US,Female,Cotton - elasthane,Brown,Jumpsuits,Jumpsuits,Leopard print overalls,"Cute leopard print overalls, cotton material ",https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/9015e896-7252-429d-8ddf-fb23fc0d0ac2.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/369b9d68-bd9c-4026-b050-690b7683bdcb.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/27c81f6b-9b1d-4e05-a6e0-d980a6b12137.jpg,US,6.45,USD
188,62bdecbd48024c0012f8bafd,S,Lululemon,US,Female,Synthetic,Blue,Tops,Camisoles,Womens blue Lululemon sports bra,Womens blue lululemon sports bra,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/dff57cf5-1528-4be5-a79c-d6fed2dfda78.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/f365f25a-e238-4c91-bb18-b0bce7dc7fc7.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/8876ea31-584a-4083-b1da-03c433119fdb.jpg,US,5.5,USD
191,62bdef7548024c0012f8bbc1,M,Juicy Couture,US,Female,Velvet,Pink,Hoodies,Hoodies,Hot pink juicy couture velour hoodie,Hot pink juicy couture velour hoodie,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/d6572581-a7af-4dd2-a5e6-f763e09682b9.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/bcd024d6-b8ba-411d-8c95-c267ccfcad70.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/ae347f94-f749-4a74-a4c0-266eb292eb57.jpg,US,14.6,USD
228,62c4d4529613690012690baa,M,Champion,US,Male,Cotton,Blue,Shirts,Formal shirts,CCU Dad ,Coastal Carolina University Dad’s support apparel ,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/6641e5f4-a755-49af-9482-d3a0f5fcc011.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/64724e44-7e47-47fe-aa10-6fca1323db18.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/3ff81765-f7d3-47c1-bb0d-c982d5c60a45.jpg,US,4.93,USD
269,62c770999613690012697a24,S,Mm6,US,Female,Cotton,Black,Tops,Short-sleeve tops,Celebrity Pink,Denim Shorts for young women or girls ,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/bbfabe4a-db7e-4128-a219-c687ac1f8025.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/21fefb81-c5b7-47b7-9600-dd36fd68cd39.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/296a92de-20fb-44a5-83f3-059099a7d795.jpg,US,20.55,USD
285,62c8b896baae4b0013ee6a14,2XL,Champion,US,Female,Mixed Fabric,Pink,Tops,Long-sleeved tops,Womens Champion Pink Long Sleeve Top ,Heathered Pink Long Sleeve Sweater Top. ,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/4dfdc37e-cdad-4bf4-8424-930a1bfcd269.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/58f9e653-7b2d-4c16-b0ca-72b2b8069037.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/a63b3bb2-06c6-4dee-aa7d-f7670278b056.jpg,US,3.99,USD
316,62c9ef0fbaae4b0013ee941d,6,Talbots,US,Female,Cotton,Navy,Dresses,Mini and short dresses,Tiana B ,Tiana B dress for children sized ,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/c31a7c7f-851d-4b7b-b399-e6d168ef9147.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/2e77d892-c7a1-4a08-9dd3-77e75123f5bd.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/3c73f130-670d-4b5b-ba3f-b381a76a926a.jpg,US,7.04,USD
371,62cc39a7baae4b0013eeed8b,14,Levi's Vintage Clothing,US,Female,Mixed Fabric,Blue,Jeans,Straight-leg jeans,Levi's Joggers jeans ,Women's Levi's jean joggers. Great condition.,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/9236a103-7218-4b5b-8c28-e34c3ff8f4ae.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/a6de6252-b5fb-4149-925e-ff6602b4a383.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/852fd83a-3a52-48d2-9b7e-5cf02ff17400.jpg,US,19.49,USD
