device,manufacturer,capacity,network,grade,price_gbp,price_eur,price_usd,publishedAt
943,5,13,3,7,655,769.625,786.0,2022-06-17T18:11:17.382Z
943,5,13,3,8,525,616.875,630.0,2022-06-17T18:11:17.382Z
943,5,13,3,9,80,94.0,96.0,2022-06-17T18:11:17.382Z
943,5,13,3,10,40,47.0,48.0,2022-06-17T18:11:17.382Z
943,5,17,3,7,740,869.5,888.0,2022-06-17T18:11:17.382Z
943,5,17,3,8,610,716.75,732.0,2022-06-17T18:11:17.382Z
943,5,17,3,9,80,94.0,96.0,2022-06-17T18:11:17.382Z
943,5,17,3,10,40,47.0,48.0,2022-06-17T18:11:17.382Z
943,5,18,3,7,760,893.0,912.0,2022-06-17T18:11:17.382Z
943,5,18,3,8,630,740.25,756.0,2022-06-17T18:11:17.382Z
943,5,18,3,9,80,94.0,96.0,2022-06-17T18:11:17.382Z
943,5,18,3,10,40,47.0,48.0,2022-06-17T18:11:17.382Z
943,5,12,3,7,785,922.375,942.0,2022-06-17T18:11:17.382Z
943,5,12,3,8,655,769.625,786.0,2022-06-17T18:11:17.382Z
943,5,12,3,9,80,94.0,96.0,2022-06-17T18:11:17.382Z
943,5,12,3,10,40,47.0,48.0,2022-06-17T18:11:17.382Z
943,5,13,4,7,525,616.875,630.0,2022-06-17T18:11:17.382Z
943,5,13,4,8,395,464.125,474.0,2022-06-17T18:11:17.382Z
943,5,13,4,9,80,94.0,96.0,2022-06-17T18:11:17.382Z
943,5,13,4,10,40,47.0,48.0,2022-06-17T18:11:17.382Z
943,5,17,4,7,610,716.75,732.0,2022-06-17T18:11:17.382Z
943,5,17,4,8,480,564.0,576.0,2022-06-17T18:11:17.382Z
943,5,17,4,9,80,94.0,96.0,2022-06-17T18:11:17.382Z
943,5,17,4,10,40,47.0,48.0,2022-06-17T18:11:17.382Z
943,5,18,4,7,630,740.25,756.0,2022-06-17T18:11:17.382Z
943,5,18,4,8,500,587.5,600.0,2022-06-17T18:11:17.382Z
943,5,18,4,9,80,94.0,96.0,2022-06-17T18:11:17.382Z
943,5,18,4,10,40,47.0,48.0,2022-06-17T18:11:17.382Z
943,5,12,4,7,655,769.625,786.0,2022-06-17T18:11:17.382Z
943,5,12,4,8,525,616.875,630.0,2022-06-17T18:11:17.382Z
943,5,12,4,9,80,94.0,96.0,2022-06-17T18:11:17.382Z
943,5,12,4,10,40,47.0,48.0,2022-06-17T18:11:17.382Z
921,5,16,3,7,190,223.25,228.0,2022-06-17T18:11:17.382Z
921,5,16,3,8,110,129.25,132.0,2022-06-17T18:11:17.382Z
921,5,16,3,9,30,35.25,36.0,2022-06-17T18:11:17.382Z
921,5,16,3,10,15,17.625,18.0,2022-06-17T18:11:17.382Z
921,5,17,3,7,220,258.5,264.0,2022-06-17T18:11:17.382Z
921,5,17,3,8,130,152.75,156.0,2022-06-17T18:11:17.382Z
921,5,17,3,9,30,35.25,36.0,2022-06-17T18:11:17.382Z
921,5,17,3,10,15,17.625,18.0,2022-06-17T18:11:17.382Z
921,5,18,3,7,240,282.0,288.0,2022-06-17T18:11:17.382Z
921,5,18,3,8,140,164.5,168.0,2022-06-17T18:11:17.382Z
921,5,18,3,9,30,35.25,36.0,2022-06-17T18:11:17.382Z
921,5,18,3,10,15,17.625,18.0,2022-06-17T18:11:17.382Z
921,5,12,3,7,260,305.5,312.0,2022-06-17T18:11:17.382Z
921,5,12,3,8,160,188.0,192.0,2022-06-17T18:11:17.382Z
921,5,12,3,9,30,35.25,36.0,2022-06-17T18:11:17.382Z
921,5,12,3,10,15,17.625,18.0,2022-06-17T18:11:17.382Z
921,5,16,4,7,110,129.25,132.0,2022-06-17T18:11:17.382Z
921,5,16,4,8,30,35.25,36.0,2022-06-17T18:11:17.382Z
921,5,16,4,9,30,35.25,36.0,2022-06-17T18:11:17.382Z
921,5,16,4,10,15,17.625,18.0,2022-06-17T18:11:17.382Z
921,5,17,4,7,130,152.75,156.0,2022-06-17T18:11:17.382Z
921,5,17,4,8,40,47.0,48.0,2022-06-17T18:11:17.382Z
921,5,17,4,9,30,35.25,36.0,2022-06-17T18:11:17.382Z
921,5,17,4,10,15,17.625,18.0,2022-06-17T18:11:17.382Z
921,5,18,4,7,140,164.5,168.0,2022-06-17T18:11:17.382Z
921,5,18,4,8,40,47.0,48.0,2022-06-17T18:11:17.382Z
921,5,18,4,9,30,35.25,36.0,2022-06-17T18:11:17.382Z
921,5,18,4,10,15,17.625,18.0,2022-06-17T18:11:17.382Z
921,5,12,4,7,160,188.0,192.0,2022-06-17T18:11:17.382Z
921,5,12,4,8,60,70.5,72.0,2022-06-17T18:11:17.382Z
921,5,12,4,9,30,35.25,36.0,2022-06-17T18:11:17.382Z
921,5,12,4,10,15,17.625,18.0,2022-06-17T18:11:17.382Z
922,5,16,3,7,190,223.25,228.0,2022-06-17T18:11:17.382Z
922,5,16,3,8,110,129.25,132.0,2022-06-17T18:11:17.382Z
922,5,16,3,9,30,35.25,36.0,2022-06-17T18:11:17.382Z
922,5,16,3,10,15,17.625,18.0,2022-06-17T18:11:17.382Z
922,5,17,3,7,220,258.5,264.0,2022-06-17T18:11:17.382Z
