,Marque,Modele,Prix Comme neuf,Prix tres bon etat,Prix marque/raye,Prix ecran casse,URL landing page produit,Capacite
0,Apple,iPhone 13 Pro Max,769,769,616,94,https://goodbuytech-fr.twigcard.com/devices/Apple-iPhone 13 Pro Max-128Go-6277,128Go
1,Apple,iPhone 13 Pro Max,869,869,716,94,https://goodbuytech-fr.twigcard.com/devices/Apple-iPhone 13 Pro Max-256Go-6281,256Go
2,Apple,iPhone 13 Pro Max,893,893,740,94,https://goodbuytech-fr.twigcard.com/devices/Apple-iPhone 13 Pro Max-512Go-6285,512Go
3,Apple,iPhone 13 Pro Max,922,922,769,94,https://goodbuytech-fr.twigcard.com/devices/Apple-iPhone 13 Pro Max-1To-6289,1To
4,Apple,iPad Pro 3 (2018) 11 WiFi,223,223,129,35,https://goodbuytech-fr.twigcard.com/devices/Apple-iPad Pro 3 (2018) 11 WiFi-64Go-6309,64Go
5,Apple,iPad Pro 3 (2018) 11 WiFi,258,258,152,35,https://goodbuytech-fr.twigcard.com/devices/Apple-iPad Pro 3 (2018) 11 WiFi-256Go-6313,256Go
6,Apple,iPad Pro 3 (2018) 11 WiFi,282,282,164,35,https://goodbuytech-fr.twigcard.com/devices/Apple-iPad Pro 3 (2018) 11 WiFi-512Go-6317,512Go
7,Apple,iPad Pro 3 (2018) 11 WiFi,305,305,188,35,https://goodbuytech-fr.twigcard.com/devices/Apple-iPad Pro 3 (2018) 11 WiFi-1To-6321,1To
8,Apple,iPad Pro 3 (2018) 11 WiFi & Cellular,223,223,129,35,https://goodbuytech-fr.twigcard.com/devices/Apple-iPad Pro 3 (2018) 11 WiFi & Cellular-64Go-6341,64Go
9,Apple,iPad Pro 3 (2018) 11 WiFi & Cellular,258,258,152,35,https://goodbuytech-fr.twigcard.com/devices/Apple-iPad Pro 3 (2018) 11 WiFi & Cellular-256Go-6345,256Go
10,Apple,iPad Pro 3 (2018) 11 WiFi & Cellular,282,282,164,35,https://goodbuytech-fr.twigcard.com/devices/Apple-iPad Pro 3 (2018) 11 WiFi & Cellular-512Go-6349,512Go
11,Apple,iPad Pro 3 (2018) 11 WiFi & Cellular,305,305,188,35,https://goodbuytech-fr.twigcard.com/devices/Apple-iPad Pro 3 (2018) 11 WiFi & Cellular-1To-6353,1To
12,Apple,iPad Pro 3 (2018) 12.9 WiFi,270,270,152,35,https://goodbuytech-fr.twigcard.com/devices/Apple-iPad Pro 3 (2018) 12.9 WiFi-64Go-6373,64Go
13,Apple,iPad Pro 3 (2018) 12.9 WiFi,323,323,205,35,https://goodbuytech-fr.twigcard.com/devices/Apple-iPad Pro 3 (2018) 12.9 WiFi-256Go-6377,256Go
14,Apple,iPad Pro 3 (2018) 12.9 WiFi,376,376,258,35,https://goodbuytech-fr.twigcard.com/devices/Apple-iPad Pro 3 (2018) 12.9 WiFi-512Go-6381,512Go
15,Apple,iPad Pro 3 (2018) 12.9 WiFi,423,423,305,35,https://goodbuytech-fr.twigcard.com/devices/Apple-iPad Pro 3 (2018) 12.9 WiFi-1To-6385,1To
16,Apple,iPad Pro 3 (2018) 12.9 WiFi & Cellular,270,270,152,35,https://goodbuytech-fr.twigcard.com/devices/Apple-iPad Pro 3 (2018) 12.9 WiFi & Cellular-64Go-6405,64Go
17,Apple,iPad Pro 3 (2018) 12.9 WiFi & Cellular,323,323,205,35,https://goodbuytech-fr.twigcard.com/devices/Apple-iPad Pro 3 (2018) 12.9 WiFi & Cellular-256Go-6409,256Go
18,Apple,iPad Pro 3 (2018) 12.9 WiFi & Cellular,376,376,258,35,https://goodbuytech-fr.twigcard.com/devices/Apple-iPad Pro 3 (2018) 12.9 WiFi & Cellular-512Go-6413,512Go
19,Apple,iPad Pro 3 (2018) 12.9 WiFi & Cellular,423,423,305,35,https://goodbuytech-fr.twigcard.com/devices/Apple-iPad Pro 3 (2018) 12.9 WiFi & Cellular-1To-6417,1To
20,Apple,iPad Pro 4 (2020) 11 WiFi,293,293,176,35,https://goodbuytech-fr.twigcard.com/devices/Apple-iPad Pro 4 (2020) 11 WiFi-128Go-6437,128Go
21,Apple,iPad Pro 4 (2020) 11 WiFi,317,317,199,35,https://goodbuytech-fr.twigcard.com/devices/Apple-iPad Pro 4 (2020) 11 WiFi-256Go-6441,256Go
22,Apple,iPad Pro 4 (2020) 11 WiFi,340,340,223,35,https://goodbuytech-fr.twigcard.com/devices/Apple-iPad Pro 4 (2020) 11 WiFi-512Go-6445,512Go
23,Apple,iPad Pro 4 (2020) 11 WiFi,376,376,258,35,https://goodbuytech-fr.twigcard.com/devices/Apple-iPad Pro 4 (2020) 11 WiFi-1To-6449,1To
24,Apple,iPad Pro 4 (2020) 11 WiFi & Cellular,293,293,176,35,https://goodbuytech-fr.twigcard.com/devices/Apple-iPad Pro 4 (2020) 11 WiFi & Cellular-128Go-6469,128Go
25,Apple,iPad Pro 4 (2020) 11 WiFi & Cellular,317,317,199,35,https://goodbuytech-fr.twigcard.com/devices/Apple-iPad Pro 4 (2020) 11 WiFi & Cellular-256Go-6473,256Go
26,Apple,iPad Pro 4 (2020) 11 WiFi & Cellular,340,340,223,35,https://goodbuytech-fr.twigcard.com/devices/Apple-iPad Pro 4 (2020) 11 WiFi & Cellular-512Go-6477,512Go
27,Apple,iPad Pro 4 (2020) 11 WiFi & Cellular,376,376,258,35,https://goodbuytech-fr.twigcard.com/devices/Apple-iPad Pro 4 (2020) 11 WiFi & Cellular-1To-6481,1To
28,Apple,iPad Pro 4 (2020) 12.9 WiFi,411,411,293,35,https://goodbuytech-fr.twigcard.com/devices/Apple-iPad Pro 4 (2020) 12.9 WiFi-128Go-6501,128Go
29,Apple,iPad Pro 4 (2020) 12.9 WiFi,470,470,352,35,https://goodbuytech-fr.twigcard.com/devices/Apple-iPad Pro 4 (2020) 12.9 WiFi-256Go-6505,256Go
30,Apple,iPad Pro 4 (2020) 12.9 WiFi,505,505,387,35,https://goodbuytech-fr.twigcard.com/devices/Apple-iPad Pro 4 (2020) 12.9 WiFi-512Go-6509,512Go
31,Apple,iPad Pro 4 (2020) 12.9 WiFi,505,505,387,35,https://goodbuytech-fr.twigcard.com/devices/Apple-iPad Pro 4 (2020) 12.9 WiFi-1To-6513,1To
32,Apple,iPad Pro 4 (2020) 12.9 WiFi & Cellular,411,411,293,35,https://goodbuytech-fr.twigcard.com/devices/Apple-iPad Pro 4 (2020) 12.9 WiFi & Cellular-128Go-6533,128Go
33,Apple,iPad Pro 4 (2020) 12.9 WiFi & Cellular,470,470,352,35,https://goodbuytech-fr.twigcard.com/devices/Apple-iPad Pro 4 (2020) 12.9 WiFi & Cellular-256Go-6537,256Go
34,Apple,iPad Pro 4 (2020) 12.9 WiFi & Cellular,505,505,387,35,https://goodbuytech-fr.twigcard.com/devices/Apple-iPad Pro 4 (2020) 12.9 WiFi & Cellular-512Go-6541,512Go
35,Apple,iPad Pro 4 (2020) 12.9 WiFi & Cellular,505,505,387,35,https://goodbuytech-fr.twigcard.com/devices/Apple-iPad Pro 4 (2020) 12.9 WiFi & Cellular-1To-6545,1To
36,Apple,iPad Pro 5 (2021) 11 WiFi,340,340,223,35,https://goodbuytech-fr.twigcard.com/devices/Apple-iPad Pro 5 (2021) 11 WiFi-128Go-6565,128Go
37,Apple,iPad Pro 5 (2021) 11 WiFi,399,399,282,35,https://goodbuytech-fr.twigcard.com/devices/Apple-iPad Pro 5 (2021) 11 WiFi-256Go-6569,256Go
38,Apple,iPad Pro 5 (2021) 11 WiFi,440,440,323,35,https://goodbuytech-fr.twigcard.com/devices/Apple-iPad Pro 5 (2021) 11 WiFi-512Go-6573,512Go
39,Apple,iPad Pro 5 (2021) 11 WiFi,481,481,364,35,https://goodbuytech-fr.twigcard.com/devices/Apple-iPad Pro 5 (2021) 11 WiFi-1To-6577,1To
40,Apple,iPad Pro 5 (2021) 11 WiFi,522,522,405,35,https://goodbuytech-fr.twigcard.com/devices/Apple-iPad Pro 5 (2021) 11 WiFi-2To-6581,2To
41,Apple,iPad Pro 5 (2021) 11 WiFi & Cellular,340,340,223,35,https://goodbuytech-fr.twigcard.com/devices/Apple-iPad Pro 5 (2021) 11 WiFi & Cellular-128Go-6605,128Go
42,Apple,iPad Pro 5 (2021) 11 WiFi & Cellular,399,399,282,35,https://goodbuytech-fr.twigcard.com/devices/Apple-iPad Pro 5 (2021) 11 WiFi & Cellular-256Go-6609,256Go
43,Apple,iPad Pro 5 (2021) 11 WiFi & Cellular,440,440,323,35,https://goodbuytech-fr.twigcard.com/devices/Apple-iPad Pro 5 (2021) 11 WiFi & Cellular-512Go-6613,512Go
