Device Id,Capacity Id,Make,Model,GB,Network,Grade A,Grade B,Grade C,Grade D,Grade E
276,4,Apple,iPad Pro 3 (2018) 11 WiFi,64,Unlocked,,190,110,30,15
276,8,Apple,iPad Pro 3 (2018) 11 WiFi,256,Unlocked,,220,130,30,15
276,10,Apple,iPad Pro 3 (2018) 11 WiFi,512,Unlocked,,240,140,30,15
276,11,Apple,iPad Pro 3 (2018) 11 WiFi,1TB,Unlocked,,260,160,30,15
277,4,Apple,iPad Pro 3 (2018) 11 WiFi & Cellular,64,Unlocked,,190,110,30,15
277,8,Apple,iPad Pro 3 (2018) 11 WiFi & Cellular,256,Unlocked,,220,130,30,15
277,10,Apple,iPad Pro 3 (2018) 11 WiFi & Cellular,512,Unlocked,,240,140,30,15
277,11,Apple,iPad Pro 3 (2018) 11 WiFi & Cellular,1TB,Unlocked,,260,160,30,15
274,4,Apple,iPad Pro 3 (2018) 12.9 WiFi,64,Unlocked,,230,130,30,15
274,8,Apple,iPad Pro 3 (2018) 12.9 WiFi,256,Unlocked,,275,175,30,15
274,10,Apple,iPad Pro 3 (2018) 12.9 WiFi,512,Unlocked,,320,220,30,15
274,11,Apple,iPad Pro 3 (2018) 12.9 WiFi,1TB,Unlocked,,360,260,30,15
275,4,Apple,iPad Pro 3 (2018) 12.9 WiFi & Cellular,64,Unlocked,,230,130,30,15
275,8,Apple,iPad Pro 3 (2018) 12.9 WiFi & Cellular,256,Unlocked,,275,175,30,15
275,10,Apple,iPad Pro 3 (2018) 12.9 WiFi & Cellular,512,Unlocked,,320,220,30,15
275,11,Apple,iPad Pro 3 (2018) 12.9 WiFi & Cellular,1TB,Unlocked,,360,260,30,15
4229,5,Apple,iPad Pro 4 (2020) 11 WiFi,128,Unlocked,,250,150,30,15
4229,8,Apple,iPad Pro 4 (2020) 11 WiFi,256,Unlocked,,270,170,30,15
4229,10,Apple,iPad Pro 4 (2020) 11 WiFi,512,Unlocked,,290,190,30,15
4229,11,Apple,iPad Pro 4 (2020) 11 WiFi,1TB,Unlocked,,320,220,30,15
4230,5,Apple,iPad Pro 4 (2020) 11 WiFi & Cellular,128,Unlocked,,250,150,30,15
4230,8,Apple,iPad Pro 4 (2020) 11 WiFi & Cellular,256,Unlocked,,270,170,30,15
4230,10,Apple,iPad Pro 4 (2020) 11 WiFi & Cellular,512,Unlocked,,290,190,30,15
4230,11,Apple,iPad Pro 4 (2020) 11 WiFi & Cellular,1TB,Unlocked,,320,220,30,15
4231,5,Apple,iPad Pro 4 (2020) 12.9 WiFi,128,Unlocked,,350,250,30,15
4231,8,Apple,iPad Pro 4 (2020) 12.9 WiFi,256,Unlocked,,400,300,30,15
4231,10,Apple,iPad Pro 4 (2020) 12.9 WiFi,512,Unlocked,,430,330,30,15
4231,11,Apple,iPad Pro 4 (2020) 12.9 WiFi,1TB,Unlocked,,430,330,30,15
4232,5,Apple,iPad Pro 4 (2020) 12.9 WiFi & Cellular,128,Unlocked,,350,250,30,15
4232,8,Apple,iPad Pro 4 (2020) 12.9 WiFi & Cellular,256,Unlocked,,400,300,30,15
4232,10,Apple,iPad Pro 4 (2020) 12.9 WiFi & Cellular,512,Unlocked,,430,330,30,15
4232,11,Apple,iPad Pro 4 (2020) 12.9 WiFi & Cellular,1TB,Unlocked,,430,330,30,15
9951,5,Apple,iPad Pro 5 (2021) 11 WiFi,128,Unlocked,,290,190,30,15
