id,name,manufacturer,image,network,capacity,grade_a,grade_b,grade_c,grade_d,grade_e
943,iPhone 13 Pro Max,Apple,https://lifeboat-media.s3.eu-west-2.amazonaws.com/12%20pro.png5f92a4f5b57a1.png,Unlocked,128,,655,525,80,40
943,iPhone 13 Pro Max,Apple,https://lifeboat-media.s3.eu-west-2.amazonaws.com/12%20pro.png5f92a4f5b57a1.png,Unlocked,256,,740,610,80,40
943,iPhone 13 Pro Max,Apple,https://lifeboat-media.s3.eu-west-2.amazonaws.com/12%20pro.png5f92a4f5b57a1.png,Unlocked,512,,760,630,80,40
943,iPhone 13 Pro Max,Apple,https://lifeboat-media.s3.eu-west-2.amazonaws.com/12%20pro.png5f92a4f5b57a1.png,Unlocked,1,,785,655,80,40
943,iPhone 13 Pro Max,Apple,https://lifeboat-media.s3.eu-west-2.amazonaws.com/12%20pro.png5f92a4f5b57a1.png,Locked,128,,525,395,80,40
943,iPhone 13 Pro Max,Apple,https://lifeboat-media.s3.eu-west-2.amazonaws.com/12%20pro.png5f92a4f5b57a1.png,Locked,256,,610,480,80,40
943,iPhone 13 Pro Max,Apple,https://lifeboat-media.s3.eu-west-2.amazonaws.com/12%20pro.png5f92a4f5b57a1.png,Locked,512,,630,500,80,40
943,iPhone 13 Pro Max,Apple,https://lifeboat-media.s3.eu-west-2.amazonaws.com/12%20pro.png5f92a4f5b57a1.png,Locked,1,,655,525,80,40
921,iPad Pro 3 (2018) 11 WiFi,Apple,https://lifeboat-media.s3.eu-west-2.amazonaws.com/iPad%20pro%2011%202018.jpeg5c6161fb49e36.jpeg,Unlocked,64,,190,110,30,15
921,iPad Pro 3 (2018) 11 WiFi,Apple,https://lifeboat-media.s3.eu-west-2.amazonaws.com/iPad%20pro%2011%202018.jpeg5c6161fb49e36.jpeg,Unlocked,256,,220,130,30,15
921,iPad Pro 3 (2018) 11 WiFi,Apple,https://lifeboat-media.s3.eu-west-2.amazonaws.com/iPad%20pro%2011%202018.jpeg5c6161fb49e36.jpeg,Unlocked,512,,240,140,30,15
921,iPad Pro 3 (2018) 11 WiFi,Apple,https://lifeboat-media.s3.eu-west-2.amazonaws.com/iPad%20pro%2011%202018.jpeg5c6161fb49e36.jpeg,Unlocked,1,,260,160,30,15
921,iPad Pro 3 (2018) 11 WiFi,Apple,https://lifeboat-media.s3.eu-west-2.amazonaws.com/iPad%20pro%2011%202018.jpeg5c6161fb49e36.jpeg,Locked,64,,110,30,30,15
921,iPad Pro 3 (2018) 11 WiFi,Apple,https://lifeboat-media.s3.eu-west-2.amazonaws.com/iPad%20pro%2011%202018.jpeg5c6161fb49e36.jpeg,Locked,256,,130,40,30,15
921,iPad Pro 3 (2018) 11 WiFi,Apple,https://lifeboat-media.s3.eu-west-2.amazonaws.com/iPad%20pro%2011%202018.jpeg5c6161fb49e36.jpeg,Locked,512,,140,40,30,15
921,iPad Pro 3 (2018) 11 WiFi,Apple,https://lifeboat-media.s3.eu-west-2.amazonaws.com/iPad%20pro%2011%202018.jpeg5c6161fb49e36.jpeg,Locked,1,,160,60,30,15
922,iPad Pro 3 (2018) 11 WiFi & Cellular,Apple,https://lifeboat-media.s3.eu-west-2.amazonaws.com/iPad%20pro%2011%202018.jpeg5c6161fb49e36.jpegg,Unlocked,64,,190,110,30,15
922,iPad Pro 3 (2018) 11 WiFi & Cellular,Apple,https://lifeboat-media.s3.eu-west-2.amazonaws.com/iPad%20pro%2011%202018.jpeg5c6161fb49e36.jpegg,Unlocked,256,,220,130,30,15
922,iPad Pro 3 (2018) 11 WiFi & Cellular,Apple,https://lifeboat-media.s3.eu-west-2.amazonaws.com/iPad%20pro%2011%202018.jpeg5c6161fb49e36.jpegg,Unlocked,512,,240,140,30,15
922,iPad Pro 3 (2018) 11 WiFi & Cellular,Apple,https://lifeboat-media.s3.eu-west-2.amazonaws.com/iPad%20pro%2011%202018.jpeg5c6161fb49e36.jpegg,Unlocked,1,,260,160,30,15
922,iPad Pro 3 (2018) 11 WiFi & Cellular,Apple,https://lifeboat-media.s3.eu-west-2.amazonaws.com/iPad%20pro%2011%202018.jpeg5c6161fb49e36.jpegg,Locked,64,,110,30,30,15
